address,lat,lon
가음정로23번길,35.210463918,128.688074461
삼귀로466번길,35.157424277,128.609615034
귀산로60번길,35.166640992,128.615919160
진해대로597번길,35.158493401,128.681922556
조천로17번길,35.160236011,128.684409375
웅천동로49번길,35.100290284,128.753127387
웅천중로50번길,35.110086415,128.750594038
남영로491번길,35.114906469,128.780736018
대장로163번길,35.138817807,128.778240667
태평로92번안길,35.143613705,128.668621656
속천로52번안길,35.141556530,128.668933014
마천로103번길,35.133918892,128.783965213
우도로5번길,35.088397952,128.722139154
명동로5번길,35.097602596,128.718203044
명제로370번길,35.094834296,128.731272470
웅천북로39번길,35.117356614,128.747535370
웅천북로191번길,35.122305582,128.735063937
냉천로36번길,35.150094810,128.702255680
소사천로,35.126372507,128.778139800
안골로220번나길,35.092109677,128.796358115
안골로220번가길,35.091951440,128.798227714
여좌로70번길,35.157406585,128.663339564
여좌로11번길,35.153343210,128.664615213
여좌로118번다길,35.162786991,128.663939760
용원남로27번길,35.096835475,128.817380153
용원남로17번안길,35.094547305,128.817872235
벚꽃로50번안길,35.150522273,128.662856886
인사로22번길,35.149567565,128.668664539
백구로6번길,35.147062309,128.662968336
청안로150번길,35.103336501,128.792249696
태백서로47번길,35.156802747,128.674163229
행암로217번길,35.115791566,128.702423011
교방서6길,35.212092312,128.564269106
교방동15길,35.210280900,128.566307838
노산서23길,35.212957188,128.572810384
교방동10길,35.210016163,128.564022076
교방동16길,35.210089981,128.564560411
교방동14길,35.210050864,128.564454472
교방동17길,35.210496431,128.566410322
교방동19길,35.209900148,128.566612473
교방동11길,35.210229849,128.564331784
교방동20길,35.210135407,128.564866444
노산서19길,35.215708655,128.569477178
노산남8길,35.213943913,128.570664851
노산서25길,35.212261928,128.571243560
노산남11길,35.211227242,128.571734810
노산서20길,35.215524125,128.568136107
장구길,35.080573369,128.565828103
난포2길,35.081189972,128.604619171
난포1길,35.081612105,128.603036203
욱곡2길,35.096763102,128.557729960
욱곡1길,35.095984124,128.556995352
심리3길,35.068983423,128.607242981
월영북13길,35.182535566,128.556695649
문화서12길,35.187902845,128.555928048
반월북7길,35.190755091,128.559415064
반월남7길,35.190243731,128.559197129
산호남11길,35.214805968,128.586069931
합포북21길,35.214679278,128.577075584
합포북9길,35.211824996,128.579127072
합포북3길,35.211478215,128.580437212
산호남9길,35.215596960,128.584052221
합포남10길,35.209811261,128.580897253
합포남1길,35.210363470,128.583075957
합포북10길,35.212101849,128.579892249
산호남10길,35.215868283,128.585294262
합포남8길,35.210343143,128.581665651
합포서2길,35.210268516,128.578428700
합포서7길,35.210040606,128.576624503
노산동8길,35.214319229,128.575798961
합포서11길,35.211125168,128.578398297
노산북9길,35.213626058,128.573189843
노산남2길,35.212889679,128.571749736
합포서1길,35.209962977,128.579040128
합포서12길,35.211908072,128.578254247
합포서4길,35.210534649,128.577671594
동서북5길,35.204056447,128.573481109
동서남5길,35.201793513,128.567882595
동서북1길,35.203524521,128.572677775
성호동3길,35.210313455,128.570697191
성호서7길,35.208152059,128.569602791
성호북3길,35.211287603,128.570742010
성호서5길,35.208532065,128.570220770
성호서9길,35.208963051,128.569890459
성호서13길,35.209717524,128.567929131
동서북6길,35.204154017,128.574292969
반월북9길,35.191050257,128.559658688
오동북6길,35.207367154,128.579076133
오동북17길,35.207666414,128.578044998
오동북10길,35.208525297,128.578964190
완월남6길,35.196282890,128.558168728
완월북7길,35.199681945,128.559754525
완월북14길,35.199941336,128.558745514
완월북13길,35.199241848,128.557609805
완월동19길,35.200613292,128.564243868
완월서2길,35.200023575,128.549210080
완월북4길,35.198966782,128.562433125
완월남1길,35.196598596,128.561337851
완월남2길,35.197124937,128.559113804
완월동4길,35.197527870,128.563826634
완월동18길,35.200371637,128.564345823
완월북6길,35.198989167,128.560407707
완월동3길,35.197213058,128.563102197
문화동2길,35.187599099,128.562848860
월영북4길,35.181528941,128.556413401
월영북3길,35.181250548,128.557070993
월영북2길,35.181078368,128.556771856
월영남13길,35.177730289,128.560568350
월영남1길,35.179279534,128.557754814
문화서17길,35.187533917,128.552357011
월영남4길,35.177642781,128.557663453
월영서1길,35.178988860,128.555794880
월영서10길,35.173801981,128.555915241
월영남15길,35.177443738,128.561093196
월영북1길,35.180309544,128.556368413
월영남19길,35.176239296,128.562764971
문화서13길,35.188321590,128.554854728
월영남3길,35.179290977,128.556590925
월영북6길,35.181885166,128.555547643
월영서5길,35.177617268,128.555500133
자산동2길,35.204364732,128.564525239
자산서14길,35.200596094,128.558338359
자산동13길,35.204983034,128.566577133
자산남11길,35.201984546,128.563296215
자산동3길,35.204624846,128.564861934
자산남13길,35.201311623,128.564243286
자산동15길,35.205878883,128.567044564
자산남2길,35.202295019,128.564343269
자산동7길,35.203950327,128.566715653
자산동16길,35.204423738,128.568068429
자산동14길,35.205453281,128.565856205
자산남6길,35.202428222,128.566009949
반월북4길,35.191849442,128.561402885
완월동15길,35.199716106,128.566439602
오동서18길,35.209842125,128.573424601
오동서17길,35.209900544,128.574193651
오동서10길,35.208266222,128.576028771
오동서12길,35.209113397,128.575586302
오동서1길,35.206890950,128.576317340
오동서19길,35.210326231,128.573088012
고현장터길,35.101302021,128.478596682
다구1길,35.105690830,128.520023810
죽전안담길,35.106084861,128.477621395
진동신기길,35.111985630,128.481807140
광암3길,35.105255757,128.498375317
요장1길,35.111110368,128.489579644
주도해안길,35.098994275,128.507313412
광암1길,35.107280349,128.496369504
요장해안길,35.107689426,128.492809396
입곡길,35.137677314,128.511042521
성산안길,35.114921602,128.489262045
대평안길,37.131371456,126.843161836
덕곡안길,35.439241751,128.549161633
진북예곡3길,35.116534997,128.454438678
진북예곡1길,35.111207481,128.458009800
지산3길,35.115665183,128.467157359
지산1길,37.207227138,127.112463295
지산2길,37.205643749,127.113050583
지산5길,35.115502883,128.467432811
외추길,35.157394647,128.479757335
거락1길,35.141960299,128.372826110
곡안1길,35.109984243,128.414155237
금암중촌길,35.139285044,128.383690718
도산길,35.699440513,128.020531515
진전봉암길,35.132678099,128.368085871
시락본동길,35.076485528,128.435237858
대정5길,35.131895527,128.374655457
오서5길,35.102544497,128.413814229
미천2길,35.152116721,128.404661242
문화동8길,35.184130552,128.561582941
성호남6길,35.205101284,128.570749516
성호남4길,35.205386935,128.570749243
성호동4길,35.207773698,128.571609403
문화북6길,35.188805253,128.559026616
월영북9길,35.183561976,128.555332840
진해대로563번길,35.157160954,128.678532592
월남로104번길,35.118760263,128.775479485
월남로30번길,35.112109668,128.769443750
속천로88번길,35.139303941,128.671908570
웅동로121번안길,35.127533599,128.790853883
마천로18번안길,35.125718938,128.785589832
웅동로107번길,35.123506268,128.788133755
명동로83번길,35.096467142,128.720554710
명제로324번길,35.095076442,128.728533944
웅천중로56번길,35.111155898,128.750655850
소사천로40번길,35.127621081,128.775316780
소사로43번나길,35.128071505,128.776390334
수도로40번길,35.084796320,128.747088160
충장로43번길,35.153684738,128.657236803
